customer_id,customer_name,segment,region,total_profit,total_sales,num_orders,avg_discount,total_quantity,first_order,last_order,profit_margin_%,avg_order_value,customer_lifespan_days,tenure_bucket
AG-10495,Andrew Gjertsen,Corporate,East,24.6492,114.376,1,0.2,15,2014-10-14,2014-10-14,21.55,114.38,0,One-time
AG-10495,Andrew Gjertsen,Corporate,South,165.7093,1129.828,2,0.2375,49,2012-01-04,2012-06-08,14.67,564.91,156,0-6mo
AG-10495,Andrew Gjertsen,Corporate,West,1.788100000000001,197.192,3,0.2,8,2012-10-23,2013-10-21,0.91,65.73,363,6-12mo
AG-10525,Andy Gerbode,Corporate,Central,-121.2705,559.71,1,0.4,3,2011-09-02,2011-09-02,-21.67,559.71,0,One-time
AG-10525,Andy Gerbode,Corporate,East,-80.6772,654.7719999999999,1,0.12000000000000002,16,2012-09-07,2012-09-07,-12.32,654.77,0,One-time
AG-10525,Andy Gerbode,Corporate,South,49.1864,240.55599999999998,2,0.13333333333333333,14,2011-08-09,2012-09-06,20.45,120.28,394,1-2yr
AG-10675,Anna Gayman,Consumer,Central,-369.7284,2894.3596000000002,3,0.20285714285714285,20,2012-05-07,2014-09-08,-12.77,964.79,854,2yr+
AG-10675,Anna Gayman,Consumer,South,123.3027,594.68,4,0.125,34,2013-01-14,2014-09-25,20.73,148.67,619,1-2yr
AG-10765,Anthony Garverick,Home Office,Central,-60.8566,51.592,2,0.5333333333333333,13,2012-11-09,2014-10-15,-117.96,25.8,705,1-2yr
AG-10765,Anthony Garverick,Home Office,East,-4.1244,5.892,1,0.7,4,2011-09-17,2011-09-17,-70.0,5.89,0,One-time
AG-10765,Anthony Garverick,Home Office,South,56.55,113.1,1,0.0,3,2012-06-09,2012-06-09,50.0,113.1,0,One-time
AG-10900,Arthur Gainer,Consumer,Central,94.36740000000002,1372.166,3,0.22000000000000003,20,2012-09-13,2014-09-04,6.88,457.39,721,1-2yr
AG-10900,Arthur Gainer,Consumer,East,45.600300000000004,259.942,2,0.05,16,2012-12-19,2013-05-18,17.54,129.97,150,0-6mo
AG-10900,Arthur Gainer,Consumer,South,33.7185,496.51,2,0.13333333333333333,10,2014-05-02,2014-09-26,6.79,248.26,147,0-6mo
AG-10900,Arthur Gainer,Consumer,West,169.9962,2382.179,3,0.2,46,2011-07-23,2012-12-27,7.14,794.06,523,1-2yr
AH-10030,Aaron Hawkins,Corporate,East,147.29299999999998,330.12600000000003,3,0.08,24,2011-04-22,2014-12-19,44.62,110.04,1337,2yr+
AH-10030,Aaron Hawkins,Corporate,South,38.038,86.45,1,0.0,7,2013-03-21,2013-03-21,44.0,86.45,0,One-time
AH-10030,Aaron Hawkins,Corporate,West,179.88420000000002,1328.124,3,0.12000000000000002,23,2011-05-13,2012-12-27,13.54,442.71,594,1-2yr
AH-10075,Adam Hart,Corporate,Central,11.933999999999997,217.44,1,0.2,13,2013-12-18,2013-12-18,5.49,217.44,0,One-time
AH-10075,Adam Hart,Corporate,East,191.5114,2214.047,4,0.19,33,2012-12-21,2014-10-24,8.65,553.51,672,1-2yr
AH-10075,Adam Hart,Corporate,South,-21.5316,355.0799999999999,2,0.13333333333333333,13,2014-05-20,2014-11-27,-6.06,177.54,191,6-12mo
AH-10075,Adam Hart,Corporate,West,99.2752,463.77,3,0.0,16,2011-11-16,2014-04-16,21.41,154.59,882,2yr+
AH-10120,Adrian Hane,Home Office,Central,51.2898,224.56,3,0.35000000000000003,18,2013-07-01,2014-11-01,22.84,74.85,488,1-2yr
AH-10120,Adrian Hane,Home Office,South,58.1931,201.09,1,0.0,9,2014-08-18,2014-08-18,28.94,201.09,0,One-time
AH-10120,Adrian Hane,Home Office,West,-111.79749999999999,1309.864,3,0.24,38,2011-07-18,2014-04-09,-8.54,436.62,996,2yr+
AH-10195,Alan Haines,Corporate,Central,-25.648,16.03,1,0.8,5,2014-11-06,2014-11-06,-160.0,16.03,0,One-time
AH-10195,Alan Haines,Corporate,East,-3.5323999999999995,161.356,2,0.225,9,2012-03-05,2014-08-25,-2.19,80.68,903,2yr+
AH-10195,Alan Haines,Corporate,South,-349.3705,1410.066,1,0.3666666666666667,14,2013-12-19,2013-12-19,-24.78,1410.07,0,One-time
AH-10210,Alan Hwang,Consumer,Central,19.596,195.96,1,0.2,5,2014-11-24,2014-11-24,10.0,195.96,0,One-time
AH-10210,Alan Hwang,Consumer,East,233.9924,801.988,1,0.13333333333333333,13,2012-12-07,2012-12-07,29.18,801.99,0,One-time
AH-10210,Alan Hwang,Consumer,South,867.5466,1942.996,3,0.06666666666666667,13,2013-02-20,2014-10-14,44.65,647.67,601,1-2yr
AH-10210,Alan Hwang,Consumer,West,187.4196,1864.3999999999999,4,0.06666666666666667,22,2011-11-29,2014-12-25,10.05,466.1,1122,2yr+
AH-10465,Amy Hunt,Consumer,Central,-352.0866,1757.8536,1,0.24,17,2012-01-03,2012-01-03,-20.03,1757.85,0,One-time
AH-10465,Amy Hunt,Consumer,East,140.8633,562.5500000000001,1,0.0,5,2014-05-15,2014-05-15,25.04,562.55,0,One-time
AH-10465,Amy Hunt,Consumer,South,16.880399999999998,103.89999999999999,2,0.1,11,2012-01-17,2014-04-03,16.25,51.95,807,2yr+
AH-10465,Amy Hunt,Consumer,West,-1.7772,71.088,1,0.2,2,2013-05-06,2013-05-06,-2.5,71.09,0,One-time
AH-10585,Angele Hood,Consumer,Central,4.995,15.984,1,0.2,2,2014-12-10,2014-12-10,31.25,15.98,0,One-time
AH-10585,Angele Hood,Consumer,South,23.924,239.24,1,0.2,1,2014-07-07,2014-07-07,10.0,239.24,0,One-time
AH-10585,Angele Hood,Consumer,West,55.044,483.28,2,0.06666666666666667,14,2011-10-26,2013-09-16,11.39,241.64,691,1-2yr
AH-10690,Anna Häberlin,Corporate,Central,150.90300000000002,1135.394,3,0.3333333333333333,31,2012-05-04,2012-12-31,13.29,378.46,241,6-12mo
AH-10690,Anna Häberlin,Corporate,East,33.3136,70.88,1,0.0,2,2013-08-07,2013-08-07,47.0,70.88,0,One-time
AH-10690,Anna Häberlin,Corporate,South,1095.3473000000001,5369.6759999999995,5,0.2,52,2011-04-02,2013-10-05,20.4,1073.94,917,2yr+
AH-10690,Anna Häberlin,Corporate,West,18.4527,1312.344,3,0.13333333333333333,17,2013-05-20,2013-11-16,1.41,437.45,180,0-6mo
AI-10855,Arianne Irving,Consumer,East,-5.8916,70.366,2,0.15,2,2014-05-06,2014-12-12,-8.37,35.18,220,6-12mo
AI-10855,Arianne Irving,Consumer,South,80.784,504.9,1,0.0,5,2014-12-18,2014-12-18,16.0,504.9,0,One-time
AI-10855,Arianne Irving,Consumer,West,792.8347,3800.52,7,0.06666666666666667,65,2011-04-28,2014-09-10,20.86,542.93,1231,2yr+
AJ-10780,Anthony Jacobs,Corporate,East,16.86850000000004,4486.4439999999995,3,0.04,45,2011-10-31,2014-05-15,0.38,1495.48,927,2yr+
AJ-10780,Anthony Jacobs,Corporate,South,16.9543,62.263999999999996,2,0.2333333333333333,8,2011-01-11,2013-11-29,27.23,31.13,1053,2yr+
AJ-10780,Anthony Jacobs,Corporate,West,116.8902,318.636,2,0.1,9,2012-05-18,2014-10-17,36.68,159.32,882,2yr+
AJ-10795,Anthony Johnson,Corporate,East,1.6848,4.992,1,0.2,3,2013-12-27,2013-12-27,33.75,4.99,0,One-time
AJ-10795,Anthony Johnson,Corporate,South,384.469,1725.844,3,0.1,27,2011-05-14,2013-09-13,22.28,575.28,853,2yr+
AJ-10795,Anthony Johnson,Corporate,West,772.5526,2770.5550000000003,3,0.0625,58,2011-12-29,2014-07-18,27.88,923.52,932,2yr+
AJ-10945,Ashley Jarboe,Consumer,Central,489.9664,1715.16,3,0.0,28,2012-06-01,2014-09-01,28.57,571.72,822,2yr+
AJ-10945,Ashley Jarboe,Consumer,South,3.4048,19.456,1,0.2,4,2011-03-03,2011-03-03,17.5,19.46,0,One-time
AJ-10945,Ashley Jarboe,Consumer,West,27.764,104.624,3,0.06666666666666667,8,2012-11-28,2014-10-07,26.54,34.87,678,1-2yr
AJ-10960,Astrea Jones,Consumer,East,57.6601,618.608,2,0.05,18,2011-09-14,2011-12-30,9.32,309.3,107,0-6mo
AJ-10960,Astrea Jones,Consumer,West,2.7664,10.64,1,0.0,4,2014-10-18,2014-10-18,26.0,10.64,0,One-time
AM-10360,Alice McCarthy,Corporate,Central,17.6574,72.6,2,0.13333333333333333,8,2011-10-06,2013-07-17,24.32,36.3,650,1-2yr
AM-10360,Alice McCarthy,Corporate,East,-59.909000000000006,129.832,1,0.35,7,2014-05-29,2014-05-29,-46.14,129.83,0,One-time
AM-10360,Alice McCarthy,Corporate,West,237.2394,611.58,2,0.05714285714285715,33,2012-03-23,2014-12-03,38.79,305.79,985,2yr+
AM-10705,Anne McFarland,Consumer,Central,47.98,383.84,1,0.2,4,2014-04-05,2014-04-05,12.5,383.84,0,One-time
AM-10705,Anne McFarland,Consumer,East,472.0844,2116.5060000000003,1,0.04285714285714286,20,2011-10-31,2011-10-31,22.3,2116.51,0,One-time
AM-10705,Anne McFarland,Consumer,South,392.79040000000003,2229.212,3,0.06363636363636363,40,2012-09-13,2014-07-22,17.62,743.07,677,1-2yr
AM-10705,Anne McFarland,Consumer,West,172.8778,934.4639999999999,3,0.06666666666666667,17,2012-09-20,2014-06-26,18.5,311.49,644,1-2yr
AO-10810,Anthony O'Donnell,Corporate,West,12.096,161.28,1,0.2,2,2013-08-17,2013-08-17,7.5,161.28,0,One-time
AP-10720,Anne Pryor,Home Office,Central,-1.3584,27.168,1,0.2,4,2012-11-22,2012-11-22,-5.0,27.17,0,One-time
AP-10720,Anne Pryor,Home Office,East,68.2718,513.784,4,0.15000000000000002,29,2011-03-03,2014-11-20,13.29,128.45,1358,2yr+
AP-10720,Anne Pryor,Home Office,South,-8.961400000000001,79.3,2,0.3,11,2013-05-24,2013-10-22,-11.3,39.65,151,0-6mo
AP-10720,Anne Pryor,Home Office,West,227.83679999999998,1018.3019999999999,1,0.1142857142857143,41,2013-12-07,2013-12-07,22.37,1018.3,0,One-time
AP-10915,Arthur Prichep,Consumer,South,199.9944,952.908,4,0.025,26,2011-10-24,2014-09-04,20.99,238.23,1046,2yr+
AP-10915,Arthur Prichep,Consumer,West,379.3169,2370.648,6,0.11739130434782609,76,2011-08-23,2014-09-24,16.0,395.11,1128,2yr+
AR-10345,Alex Russell,Corporate,Central,17.6652,265.086,2,0.25,7,2012-09-10,2014-09-09,6.66,132.54,729,1-2yr
AR-10345,Alex Russell,Corporate,East,-238.71959999999999,790.608,2,0.26666666666666666,11,2011-12-30,2014-09-11,-30.19,395.3,986,2yr+
AR-10405,Allen Rosenblatt,Corporate,Central,19.8144,41.28,1,0.0,2,2014-05-21,2014-05-21,48.0,41.28,0,One-time
AR-10405,Allen Rosenblatt,Corporate,East,-241.3974,1689.364,2,0.09999999999999999,17,2014-06-20,2014-08-28,-14.29,844.68,69,0-6mo
AR-10405,Allen Rosenblatt,Corporate,South,105.468,239.7,1,0.0,6,2012-07-31,2012-07-31,44.0,239.7,0,One-time
AR-10405,Allen Rosenblatt,Corporate,West,17.3504,265.784,1,0.2,4,2011-10-03,2011-10-03,6.53,265.78,0,One-time
AR-10510,Andrew Roberts,Consumer,Central,5.184,10.8,1,0.0,5,2014-12-17,2014-12-17,48.0,10.8,0,One-time
AR-10510,Andrew Roberts,Consumer,East,10.4919,195.744,3,0.3,19,2011-05-02,2013-12-27,5.36,65.25,970,2yr+
AR-10510,Andrew Roberts,Consumer,West,27.9936,58.32,1,0.0,9,2012-08-31,2012-08-31,48.0,58.32,0,One-time
AR-10540,Andy Reiter,Consumer,Central,2602.0939,5802.7,1,0.0,14,2014-01-17,2014-01-17,44.84,5802.7,0,One-time
AR-10540,Andy Reiter,Consumer,East,32.7341,85.78,3,0.06666666666666667,8,2011-11-25,2014-12-25,38.16,28.59,1126,2yr+
AR-10540,Andy Reiter,Consumer,West,249.7928,719.968,2,0.13333333333333333,11,2012-04-11,2013-09-30,34.69,359.98,537,1-2yr
AR-10570,Anemone Ratner,Consumer,South,32.633,88.15,1,0.0,6,2013-07-15,2013-07-15,37.02,88.15,0,One-time
AR-10825,Anthony Rawles,Corporate,Central,-24.843,347.802,1,0.3,7,2013-09-06,2013-09-06,-7.14,347.8,0,One-time
AR-10825,Anthony Rawles,Corporate,East,-9.24100000000001,765.076,3,0.06000000000000001,13,2012-03-08,2014-11-03,-1.21,255.03,970,2yr+
AR-10825,Anthony Rawles,Corporate,West,528.9192,3410.458,4,0.05714285714285715,34,2011-06-30,2014-07-22,15.51,852.61,1118,2yr+
AS-10045,Aaron Smayling,Corporate,Central,-251.2959,1476.27,1,0.30000000000000004,10,2014-08-02,2014-08-02,-17.02,1476.27,0,One-time
AS-10045,Aaron Smayling,Corporate,East,32.2322,65.78,1,0.0,11,2011-07-27,2011-07-27,49.0,65.78,0,One-time
AS-10045,Aaron Smayling,Corporate,South,-53.6656,771.614,2,0.475,15,2013-03-29,2014-01-03,-6.95,385.81,280,6-12mo
AS-10045,Aaron Smayling,Corporate,West,19.154700000000005,737.028,3,0.3499999999999999,12,2013-09-26,2014-10-04,2.6,245.68,373,1-2yr
AS-10090,Adam Shillingsburg,Consumer,Central,274.4242,1252.316,4,0.14545454545454548,40,2012-11-09,2014-04-02,21.91,313.08,509,1-2yr
AS-10090,Adam Shillingsburg,Consumer,East,-223.91400000000002,1954.3739999999998,3,0.24166666666666667,37,2011-09-22,2014-09-17,-11.46,651.46,1091,2yr+
AS-10090,Adam Shillingsburg,Consumer,South,10.395,34.65,1,0.0,3,2014-12-03,2014-12-03,30.0,34.65,0,One-time
AS-10090,Adam Shillingsburg,Consumer,West,3.6322,13.97,1,0.0,1,2011-12-24,2011-12-24,26.0,13.97,0,One-time
AS-10135,Adrian Shami,Home Office,East,20.3448,54.64,1,0.1,8,2014-11-20,2014-11-20,37.23,54.64,0,One-time
AS-10135,Adrian Shami,Home Office,West,1.5048,4.18,1,0.0,1,2013-11-14,2013-11-14,36.0,4.18,0,One-time
AS-10225,Alan Schoenberger,Corporate,East,12.864,26.8,1,0.0,2,2012-05-04,2012-05-04,48.0,26.8,0,One-time
AS-10225,Alan Schoenberger,Corporate,South,444.6902,2216.8,1,0.0,14,2011-10-18,2011-10-18,20.06,2216.8,0,One-time
AS-10225,Alan Schoenberger,Corporate,West,262.22090000000003,2017.1840000000002,3,0.08888888888888889,25,2013-12-03,2014-12-09,13.0,672.39,371,1-2yr
AS-10240,Alan Shonely,Consumer,East,-22.098200000000006,139.816,3,0.3,19,2012-07-26,2014-06-22,-15.81,46.61,696,1-2yr
AS-10240,Alan Shonely,Consumer,South,35.0436,376.342,2,0.3333333333333333,16,2011-03-15,2012-03-29,9.31,188.17,380,1-2yr
AS-10240,Alan Shonely,Consumer,West,20.770400000000002,68.45,2,0.0,4,2011-10-11,2013-06-26,30.34,34.22,624,1-2yr
AS-10285,Alejandro Savely,Corporate,Central,292.12239999999997,2879.8720000000003,3,0.3,24,2013-05-22,2014-12-12,10.14,959.96,569,1-2yr
AS-10285,Alejandro Savely,Corporate,East,-15.992,23.988,1,0.4,2,2013-11-06,2013-11-06,-66.67,23.99,0,One-time
AS-10285,Alejandro Savely,Corporate,West,78.49719999999999,310.376,2,0.06666666666666667,13,2013-10-29,2013-11-05,25.29,155.19,7,0-6mo
AS-10630,Ann Steele,Home Office,Central,56.8968,372.44599999999997,1,0.26666666666666666,9,2014-09-30,2014-09-30,15.28,372.45,0,One-time
AS-10630,Ann Steele,Home Office,East,1.917,5.68,1,0.2,2,2011-08-01,2011-08-01,33.75,5.68,0,One-time
AS-10630,Ann Steele,Home Office,South,18.452099999999998,49.976,3,0.16,12,2013-09-23,2014-05-01,36.92,16.66,220,6-12mo
AS-10630,Ann Steele,Home Office,West,59.226000000000006,405.29600000000005,2,0.13333333333333333,11,2011-12-07,2012-09-03,14.61,202.65,271,6-12mo
AT-10435,Alyssa Tate,Home Office,East,-1.7024000000000004,16.862,2,0.35,7,2011-11-24,2014-04-03,-10.1,8.43,861,2yr+
AT-10435,Alyssa Tate,Home Office,South,-2.5256,3.444,1,0.7,1,2012-09-06,2012-09-06,-73.33,3.44,0,One-time
AT-10435,Alyssa Tate,Home Office,West,105.10480000000001,1151.508,3,0.06666666666666667,20,2011-12-27,2014-12-10,9.13,383.84,1079,2yr+
AT-10735,Annie Thurman,Consumer,Central,25.193,399.904,2,0.20000000000000004,12,2013-05-31,2014-08-02,6.3,199.95,428,1-2yr
AT-10735,Annie Thurman,Consumer,East,852.2062000000001,3126.156,4,0.025,28,2011-08-30,2014-12-18,27.26,781.54,1206,2yr+
AT-10735,Annie Thurman,Consumer,South,49.7286,147.344,1,0.2,11,2011-11-03,2011-11-03,33.75,147.34,0,One-time
AT-10735,Annie Thurman,Consumer,West,46.9792,158.46,3,0.06666666666666667,9,2013-09-10,2014-07-08,29.65,52.82,301,6-12mo
AW-10840,Anthony Witt,Consumer,Central,-13.8837,30.264000000000003,1,0.5,7,2012-11-29,2012-11-29,-45.88,30.26,0,One-time
AW-10840,Anthony Witt,Consumer,East,26.9448,321.248,1,0.2,4,2014-12-11,2014-12-11,8.39,321.25,0,One-time
AW-10840,Anthony Witt,Consumer,West,52.7114,297.86400000000003,2,0.05,13,2012-04-13,2014-09-03,17.7,148.93,873,2yr+
AW-10930,Arthur Wiediger,Home Office,Central,-250.2484,1748.02,4,0.3727272727272727,47,2011-07-14,2014-11-15,-14.32,437.0,1220,2yr+
